2024-03-11 16:07:25 - target 1: x: 0, y: 0

2024-03-11 16:10:15 - target 2: x: 0, y: 0

2024-03-11 16:10:15 - target 3: x: 0, y: 0

2024-03-11 16:10:15 - target 4: x: 0, y: 0

2024-03-11 16:10:15 - target 5: x: 0, y: 0

2024-03-11 16:10:15 - target 6: x: 0, y: 0

2024-03-11 16:10:15 - target 7: x: 0, y: 0

2024-03-11 16:10:15 - target 8: x: 0, y: 0

2024-03-11 16:10:15 - target 9: x: 0, y: 0

2024-03-11 16:10:15 - drone x: 17, y: 10

2024-03-11 16:10:15 - Height x: 38, width y: 151

2024-03-11 16:10:15 - world loop 248

2024-03-11 16:10:18 - target 1: x: 0, y: 0

2024-03-11 16:10:18 - target 2: x: 0, y: 0

2024-03-11 16:10:18 - target 3: x: 0, y: 0

2024-03-11 16:10:18 - target 4: x: 0, y: 0

2024-03-11 16:10:18 - target 5: x: 0, y: 0

2024-03-11 16:10:18 - target 6: x: 0, y: 0

2024-03-11 16:10:18 - target 7: x: 0, y: 0

2024-03-11 16:10:18 - target 8: x: 0, y: 0

2024-03-11 16:10:18 - target 9: x: 0, y: 0

2024-03-11 16:10:18 - drone x: 17, y: 10

2024-03-11 16:10:18 - Height x: 38, width y: 151

2024-03-11 16:10:18 - world loop 248

2024-03-11 16:10:19 - target 1: x: 0, y: 0

2024-03-11 16:10:19 - target 2: x: 0, y: 0

2024-03-11 16:10:19 - target 3: x: 0, y: 0

2024-03-11 16:10:19 - target 4: x: 0, y: 0

2024-03-11 16:10:19 - target 5: x: 0, y: 0

2024-03-11 16:10:19 - target 6: x: 0, y: 0

2024-03-11 16:10:19 - target 7: x: 0, y: 0

2024-03-11 16:10:19 - target 8: x: 0, y: 0

2024-03-11 16:10:19 - target 9: x: 0, y: 0

2024-03-11 16:10:19 - drone x: 14, y: 10

2024-03-11 16:10:19 - Height x: 38, width y: 151

2024-03-11 16:10:19 - world loop 248

2024-03-11 16:10:20 - target 1: x: 0, y: 0

2024-03-11 16:10:20 - target 2: x: 0, y: 0

2024-03-11 16:10:20 - target 3: x: 0, y: 0

2024-03-11 16:10:20 - target 4: x: 0, y: 0

2024-03-11 16:10:20 - target 5: x: 0, y: 0

2024-03-11 16:10:20 - target 6: x: 0, y: 0

2024-03-11 16:10:20 - target 7: x: 0, y: 0

2024-03-11 16:10:20 - target 8: x: 0, y: 0

2024-03-11 16:10:20 - target 9: x: 0, y: 0

2024-03-11 16:10:20 - drone x: 17, y: 10

2024-03-11 16:10:20 - Height x: 38, width y: 151

2024-03-11 16:10:20 - world loop 248

2024-03-11 16:10:21 - target 1: x: 0, y: 0

2024-03-11 16:10:21 - target 2: x: 0, y: 0

2024-03-11 16:10:21 - target 3: x: 0, y: 0

2024-03-11 16:10:21 - target 4: x: 0, y: 0

2024-03-11 16:10:21 - target 5: x: 0, y: 0

2024-03-11 16:10:21 - target 6: x: 0, y: 0

2024-03-11 16:10:21 - target 7: x: 0, y: 0

2024-03-11 16:10:21 - target 8: x: 0, y: 0

2024-03-11 16:10:21 - target 9: x: 0, y: 0

2024-03-11 16:10:21 - drone x: 14, y: 10

2024-03-11 16:10:21 - Height x: 38, width y: 151

2024-03-11 16:10:21 - world loop 248

2024-03-11 16:10:22 - target 1: x: 0, y: 0

2024-03-11 16:10:22 - target 2: x: 0, y: 0

2024-03-11 16:10:22 - target 3: x: 0, y: 0

2024-03-11 16:10:22 - target 4: x: 0, y: 0

2024-03-11 16:10:22 - target 5: x: 0, y: 0

2024-03-11 16:10:22 - target 6: x: 0, y: 0

2024-03-11 16:10:22 - target 7: x: 0, y: 0

2024-03-11 16:10:22 - target 8: x: 0, y: 0

2024-03-11 16:10:22 - target 9: x: 0, y: 0

2024-03-11 16:10:22 - drone x: 18, y: 10

2024-03-11 16:10:22 - Height x: 38, width y: 151

2024-03-11 16:10:22 - world loop 248

2024-03-11 16:10:23 - target 1: x: 0, y: 0

2024-03-11 16:10:23 - target 2: x: 0, y: 0

2024-03-11 16:10:23 - target 3: x: 0, y: 0

2024-03-11 16:10:23 - target 4: x: 0, y: 0

2024-03-11 16:10:23 - target 5: x: 0, y: 0

2024-03-11 16:10:23 - target 6: x: 0, y: 0

2024-03-11 16:10:23 - target 7: x: 0, y: 0

2024-03-11 16:10:23 - target 8: x: 0, y: 0

2024-03-11 16:10:23 - target 9: x: 0, y: 0

2024-03-11 16:10:23 - drone x: 18, y: 10

2024-03-11 16:10:23 - Height x: 38, width y: 151

2024-03-11 16:10:23 - world loop 248

2024-03-11 16:10:25 - target 1: x: 0, y: 0

2024-03-11 16:10:25 - target 2: x: 0, y: 0

2024-03-11 16:10:25 - target 3: x: 0, y: 0

2024-03-11 16:10:25 - target 4: x: 0, y: 0

2024-03-11 16:10:25 - target 5: x: 0, y: 0

2024-03-11 16:10:25 - target 6: x: 0, y: 0

2024-03-11 16:10:25 - target 7: x: 0, y: 0

2024-03-11 16:10:25 - target 8: x: 0, y: 0

2024-03-11 16:10:25 - target 9: x: 0, y: 0

2024-03-11 16:10:25 - drone x: 18, y: 10

2024-03-11 16:10:25 - Height x: 38, width y: 151

2024-03-11 16:10:25 - world loop 248

2024-03-11 16:10:26 - target 1: x: 0, y: 0

2024-03-11 16:10:26 - target 2: x: 0, y: 0

2024-03-11 16:10:26 - target 3: x: 0, y: 0

2024-03-11 16:10:26 - target 4: x: 0, y: 0

2024-03-11 16:10:26 - target 5: x: 0, y: 0

2024-03-11 16:10:26 - target 6: x: 0, y: 0

2024-03-11 16:10:26 - target 7: x: 0, y: 0

2024-03-11 16:10:26 - target 8: x: 0, y: 0

2024-03-11 16:10:26 - target 9: x: 0, y: 0

2024-03-11 16:10:26 - drone x: 14, y: 10

2024-03-11 16:10:26 - Height x: 38, width y: 151

2024-03-11 16:10:26 - world loop 248

2024-03-11 16:10:27 - target 1: x: 0, y: 0

2024-03-11 16:10:27 - target 2: x: 0, y: 0

2024-03-11 16:10:27 - target 3: x: 0, y: 0

2024-03-11 16:10:27 - target 4: x: 0, y: 0

2024-03-11 16:10:27 - target 5: x: 0, y: 0

2024-03-11 16:10:27 - target 6: x: 0, y: 0

2024-03-11 16:10:27 - target 7: x: 0, y: 0

2024-03-11 16:10:27 - target 8: x: 0, y: 0

2024-03-11 16:10:27 - target 9: x: 0, y: 0

2024-03-11 16:10:27 - drone x: 18, y: 10

2024-03-11 16:10:27 - Height x: 38, width y: 151

2024-03-11 16:10:27 - world loop 248

2024-03-11 16:10:29 - target 1: x: 0, y: 0

2024-03-11 16:10:29 - target 2: x: 0, y: 0

2024-03-11 16:10:29 - target 3: x: 0, y: 0

2024-03-11 16:10:29 - target 4: x: 0, y: 0

2024-03-11 16:10:29 - target 5: x: 0, y: 0

2024-03-11 16:10:29 - target 6: x: 0, y: 0

2024-03-11 16:10:29 - target 7: x: 0, y: 0

2024-03-11 16:10:29 - target 8: x: 0, y: 0

2024-03-11 16:10:29 - target 9: x: 0, y: 0

2024-03-11 16:10:29 - drone x: 14, y: 10

2024-03-11 16:10:29 - Height x: 38, width y: 151

2024-03-11 16:10:29 - world loop 248

2024-03-11 16:10:30 - target 1: x: 0, y: 0

2024-03-11 16:10:30 - target 2: x: 0, y: 0

2024-03-11 16:10:30 - target 3: x: 0, y: 0

2024-03-11 16:10:30 - target 4: x: 0, y: 0

2024-03-11 16:10:30 - target 5: x: 0, y: 0

2024-03-11 16:10:30 - target 6: x: 0, y: 0

2024-03-11 16:10:30 - target 7: x: 0, y: 0

2024-03-11 16:10:30 - target 8: x: 0, y: 0

2024-03-11 16:10:30 - target 9: x: 0, y: 0

2024-03-11 16:10:30 - drone x: 18, y: 10

2024-03-11 16:10:30 - Height x: 38, width y: 151

2024-03-11 16:10:30 - world loop 248

2024-03-11 16:10:32 - target 1: x: 0, y: 0

2024-03-11 16:10:32 - target 2: x: 0, y: 0

2024-03-11 16:10:32 - target 3: x: 0, y: 0

2024-03-11 16:10:32 - target 4: x: 0, y: 0

2024-03-11 16:10:32 - target 5: x: 0, y: 0

2024-03-11 16:10:32 - target 6: x: 0, y: 0

2024-03-11 16:10:32 - target 7: x: 0, y: 0

2024-03-11 16:10:32 - target 8: x: 0, y: 0

2024-03-11 16:10:32 - target 9: x: 0, y: 0

2024-03-11 16:10:32 - drone x: 18, y: 10

2024-03-11 16:10:32 - Height x: 38, width y: 151

2024-03-11 16:10:32 - world loop 248

2024-03-11 16:10:33 - target 1: x: 0, y: 0

2024-03-11 16:10:33 - target 2: x: 0, y: 0

2024-03-11 16:10:33 - target 3: x: 0, y: 0

2024-03-11 16:10:33 - target 4: x: 0, y: 0

2024-03-11 16:10:33 - target 5: x: 0, y: 0

2024-03-11 16:10:33 - target 6: x: 0, y: 0

2024-03-11 16:10:33 - target 7: x: 0, y: 0

2024-03-11 16:10:33 - target 8: x: 0, y: 0

2024-03-11 16:10:33 - target 9: x: 0, y: 0

2024-03-11 16:10:33 - drone x: 14, y: 10

2024-03-11 16:10:33 - Height x: 38, width y: 151

2024-03-11 16:10:33 - world loop 248

2024-03-11 16:10:34 - target 1: x: 0, y: 0

2024-03-11 16:10:34 - target 2: x: 0, y: 0

2024-03-11 16:10:34 - target 3: x: 0, y: 0

2024-03-11 16:10:34 - target 4: x: 0, y: 0

2024-03-11 16:10:34 - target 5: x: 0, y: 0

2024-03-11 16:10:34 - target 6: x: 0, y: 0

2024-03-11 16:10:34 - target 7: x: 0, y: 0

2024-03-11 16:10:34 - target 8: x: 0, y: 0

2024-03-11 16:10:34 - target 9: x: 0, y: 0

2024-03-11 16:10:34 - drone x: 19, y: 10

2024-03-11 16:10:34 - Height x: 38, width y: 151

2024-03-11 16:10:34 - world loop 248

2024-03-11 16:10:35 - target 1: x: 0, y: 0

2024-03-11 16:10:35 - target 2: x: 0, y: 0

2024-03-11 16:10:35 - target 3: x: 0, y: 0

2024-03-11 16:10:35 - target 4: x: 0, y: 0

2024-03-11 16:10:35 - target 5: x: 0, y: 0

2024-03-11 16:10:35 - target 6: x: 0, y: 0

2024-03-11 16:10:35 - target 7: x: 0, y: 0

2024-03-11 16:10:35 - target 8: x: 0, y: 0

2024-03-11 16:10:35 - target 9: x: 0, y: 0

2024-03-11 16:10:35 - drone x: 14, y: 10

2024-03-11 16:10:35 - Height x: 38, width y: 151

2024-03-11 16:10:35 - world loop 248

2024-03-11 16:10:37 - target 1: x: 0, y: 0

2024-03-11 16:10:37 - target 2: x: 0, y: 0

2024-03-11 16:10:37 - target 3: x: 0, y: 0

2024-03-11 16:10:37 - target 4: x: 0, y: 0

2024-03-11 16:10:37 - target 5: x: 0, y: 0

2024-03-11 16:10:37 - target 6: x: 0, y: 0

2024-03-11 16:10:37 - target 7: x: 0, y: 0

2024-03-11 16:10:37 - target 8: x: 0, y: 0

2024-03-11 16:10:37 - target 9: x: 0, y: 0

2024-03-11 16:10:37 - drone x: 14, y: 10

2024-03-11 16:10:37 - Height x: 38, width y: 151

2024-03-11 16:10:37 - world loop 248

2024-03-11 16:10:38 - target 1: x: 0, y: 0

2024-03-11 16:10:38 - target 2: x: 0, y: 0

2024-03-11 16:10:38 - target 3: x: 0, y: 0

2024-03-11 16:10:38 - target 4: x: 0, y: 0

2024-03-11 16:10:38 - target 5: x: 0, y: 0

2024-03-11 16:10:38 - target 6: x: 0, y: 0

2024-03-11 16:10:38 - target 7: x: 0, y: 0

2024-03-11 16:10:38 - target 8: x: 0, y: 0

2024-03-11 16:10:38 - target 9: x: 0, y: 0

2024-03-11 16:10:38 - drone x: 19, y: 10

2024-03-11 16:10:38 - Height x: 38, width y: 151

2024-03-11 16:10:38 - world loop 248

2024-03-11 16:10:46 - process num 3 

2024-03-11 16:10:46 - pipe read 4 

2024-03-11 16:10:46 - pipe write 5 

2024-03-11 16:10:46 - pipe read 6 

2024-03-11 16:10:46 - pipe write 7 

2024-03-11 16:10:46 - pipe read 28 

2024-03-11 16:10:46 - pipe write 29 

2024-03-11 16:10:46 - Published pid 28272 

2024-03-11 16:10:46 - watchdog pid 28184 

2024-03-11 16:10:46 - world loop 248

2024-03-11 16:10:50 - target 1: x: 0, y: 0

2024-03-11 16:10:50 - target 2: x: 0, y: 0

2024-03-11 16:10:50 - target 3: x: 0, y: 0

2024-03-11 16:10:50 - target 4: x: 0, y: 0

2024-03-11 16:10:50 - target 5: x: 0, y: 0

2024-03-11 16:10:50 - target 6: x: 0, y: 0

2024-03-11 16:10:50 - target 7: x: 0, y: 0

2024-03-11 16:10:50 - target 8: x: 0, y: 0

2024-03-11 16:10:50 - target 9: x: 0, y: 0

2024-03-11 16:10:50 - drone x: 0, y: 0

2024-03-11 16:10:50 - Height x: 38, width y: 151

2024-03-11 16:10:50 - world loop 248

2024-03-11 16:10:52 - target 1: x: 0, y: 0

2024-03-11 16:10:52 - target 2: x: 0, y: 0

2024-03-11 16:10:52 - target 3: x: 0, y: 0

2024-03-11 16:10:52 - target 4: x: 0, y: 0

2024-03-11 16:10:52 - target 5: x: 0, y: 0

2024-03-11 16:10:52 - target 6: x: 0, y: 0

2024-03-11 16:10:52 - target 7: x: 0, y: 0

2024-03-11 16:10:52 - target 8: x: 0, y: 0

2024-03-11 16:10:52 - target 9: x: 0, y: 0

2024-03-11 16:10:52 - drone x: 10, y: 10

2024-03-11 16:10:52 - Height x: 38, width y: 151

2024-03-11 16:10:52 - world loop 248

2024-03-11 16:10:53 - target 1: x: 0, y: 0

2024-03-11 16:10:53 - target 2: x: 0, y: 0

2024-03-11 16:10:53 - target 3: x: 0, y: 0

2024-03-11 16:10:53 - target 4: x: 0, y: 0

2024-03-11 16:10:53 - target 5: x: 0, y: 0

2024-03-11 16:10:53 - target 6: x: 0, y: 0

2024-03-11 16:10:53 - target 7: x: 0, y: 0

2024-03-11 16:10:53 - target 8: x: 0, y: 0

2024-03-11 16:10:53 - target 9: x: 0, y: 0

2024-03-11 16:10:53 - drone x: 10, y: 10

2024-03-11 16:10:53 - Height x: 38, width y: 151

2024-03-11 16:10:53 - world loop 248

2024-03-11 16:10:54 - target 1: x: 0, y: 0

2024-03-11 16:10:54 - target 2: x: 0, y: 0

2024-03-11 16:10:54 - target 3: x: 0, y: 0

2024-03-11 16:10:54 - target 4: x: 0, y: 0

2024-03-11 16:10:54 - target 5: x: 0, y: 0

2024-03-11 16:10:54 - target 6: x: 0, y: 0

2024-03-11 16:10:54 - target 7: x: 0, y: 0

2024-03-11 16:10:54 - target 8: x: 0, y: 0

2024-03-11 16:10:54 - target 9: x: 0, y: 0

2024-03-11 16:10:54 - drone x: 10, y: 10

2024-03-11 16:10:54 - Height x: 38, width y: 151

2024-03-11 16:10:54 - world loop 248

2024-03-11 16:10:55 - target 1: x: 0, y: 0

2024-03-11 16:10:55 - target 2: x: 0, y: 0

2024-03-11 16:10:55 - target 3: x: 0, y: 0

2024-03-11 16:10:55 - target 4: x: 0, y: 0

2024-03-11 16:10:55 - target 5: x: 0, y: 0

2024-03-11 16:10:55 - target 6: x: 0, y: 0

2024-03-11 16:10:55 - target 7: x: 0, y: 0

2024-03-11 16:10:55 - target 8: x: 0, y: 0

2024-03-11 16:10:55 - target 9: x: 0, y: 0

2024-03-11 16:10:55 - drone x: 10, y: 10

2024-03-11 16:10:55 - Height x: 38, width y: 151

2024-03-11 16:10:55 - world loop 248

2024-03-11 16:10:56 - target 1: x: 0, y: 0

2024-03-11 16:10:56 - target 2: x: 0, y: 0

2024-03-11 16:10:56 - target 3: x: 0, y: 0

2024-03-11 16:10:56 - target 4: x: 0, y: 0

2024-03-11 16:10:56 - target 5: x: 0, y: 0

2024-03-11 16:10:56 - target 6: x: 0, y: 0

2024-03-11 16:10:56 - target 7: x: 0, y: 0

2024-03-11 16:10:56 - target 8: x: 0, y: 0

2024-03-11 16:10:56 - target 9: x: 0, y: 0

2024-03-11 16:10:56 - drone x: 10, y: 10

2024-03-11 16:10:56 - Height x: 38, width y: 151

2024-03-11 16:10:56 - world loop 248

2024-03-11 16:10:58 - target 1: x: 0, y: 0

2024-03-11 16:10:58 - target 2: x: 0, y: 0

2024-03-11 16:10:58 - target 3: x: 0, y: 0

2024-03-11 16:10:58 - target 4: x: 0, y: 0

2024-03-11 16:10:58 - target 5: x: 0, y: 0

2024-03-11 16:10:58 - target 6: x: 0, y: 0

2024-03-11 16:10:58 - target 7: x: 0, y: 0

2024-03-11 16:10:58 - target 8: x: 0, y: 0

2024-03-11 16:10:58 - target 9: x: 0, y: 0

2024-03-11 16:10:58 - drone x: 10, y: 10

2024-03-11 16:10:58 - Height x: 38, width y: 151

2024-03-11 16:10:58 - world loop 248

2024-03-11 16:10:59 - target 1: x: 0, y: 0

2024-03-11 16:10:59 - target 2: x: 0, y: 0

2024-03-11 16:10:59 - target 3: x: 0, y: 0

2024-03-11 16:10:59 - target 4: x: 0, y: 0

2024-03-11 16:10:59 - target 5: x: 0, y: 0

2024-03-11 16:10:59 - target 6: x: 0, y: 0

2024-03-11 16:10:59 - target 7: x: 0, y: 0

2024-03-11 16:10:59 - target 8: x: 0, y: 0

2024-03-11 16:10:59 - target 9: x: 0, y: 0

2024-03-11 16:10:59 - drone x: 10, y: 10

2024-03-11 16:10:59 - Height x: 38, width y: 151

2024-03-11 16:10:59 - world loop 248

2024-03-11 16:11:00 - target 1: x: 0, y: 0

2024-03-11 16:11:00 - target 2: x: 0, y: 0

2024-03-11 16:11:00 - target 3: x: 0, y: 0

2024-03-11 16:11:00 - target 4: x: 0, y: 0

2024-03-11 16:11:00 - target 5: x: 0, y: 0

2024-03-11 16:11:00 - target 6: x: 0, y: 0

2024-03-11 16:11:00 - target 7: x: 0, y: 0

2024-03-11 16:11:00 - target 8: x: 0, y: 0

2024-03-11 16:11:00 - target 9: x: 0, y: 0

2024-03-11 16:11:00 - drone x: 10, y: 10

2024-03-11 16:11:00 - Height x: 38, width y: 151

2024-03-11 16:11:00 - world loop 248

2024-03-11 16:11:02 - target 1: x: 0, y: 0

2024-03-11 16:11:02 - target 2: x: 0, y: 0

2024-03-11 16:11:02 - target 3: x: 0, y: 0

2024-03-11 16:11:02 - target 4: x: 0, y: 0

2024-03-11 16:11:02 - target 5: x: 0, y: 0

2024-03-11 16:11:02 - target 6: x: 0, y: 0

2024-03-11 16:11:02 - target 7: x: 0, y: 0

2024-03-11 16:11:02 - target 8: x: 0, y: 0

2024-03-11 16:11:02 - target 9: x: 0, y: 0

2024-03-11 16:11:02 - drone x: 10, y: 10

2024-03-11 16:11:02 - Height x: 38, width y: 151

2024-03-11 16:11:02 - world loop 248

2024-03-11 16:11:04 - target 1: x: 0, y: 0

2024-03-11 16:11:04 - target 2: x: 0, y: 0

2024-03-11 16:11:04 - target 3: x: 0, y: 0

2024-03-11 16:11:04 - target 4: x: 0, y: 0

2024-03-11 16:11:04 - target 5: x: 0, y: 0

2024-03-11 16:11:04 - target 6: x: 0, y: 0

2024-03-11 16:11:04 - target 7: x: 0, y: 0

2024-03-11 16:11:04 - target 8: x: 0, y: 0

2024-03-11 16:11:04 - target 9: x: 0, y: 0

2024-03-11 16:11:04 - drone x: 10, y: 10

2024-03-11 16:11:04 - Height x: 38, width y: 151

2024-03-11 16:11:04 - world loop 248

2024-03-11 16:11:04 - target 1: x: 0, y: 0

2024-03-11 16:11:04 - target 2: x: 0, y: 0

2024-03-11 16:11:04 - target 3: x: 0, y: 0

2024-03-11 16:11:04 - target 4: x: 0, y: 0

2024-03-11 16:11:04 - target 5: x: 0, y: 0

2024-03-11 16:11:04 - target 6: x: 0, y: 0

2024-03-11 16:11:04 - target 7: x: 0, y: 0

2024-03-11 16:11:04 - target 8: x: 0, y: 0

2024-03-11 16:11:04 - target 9: x: 0, y: 0

2024-03-11 16:11:04 - drone x: 10, y: 10

2024-03-11 16:11:04 - Height x: 38, width y: 151

2024-03-11 16:11:04 - world loop 248

2024-03-11 16:11:05 - target 1: x: 0, y: 0

2024-03-11 16:11:05 - target 2: x: 0, y: 0

2024-03-11 16:11:05 - target 3: x: 0, y: 0

2024-03-11 16:11:05 - target 4: x: 0, y: 0

2024-03-11 16:11:05 - target 5: x: 0, y: 0

2024-03-11 16:11:05 - target 6: x: 0, y: 0

2024-03-11 16:11:05 - target 7: x: 0, y: 0

2024-03-11 16:11:05 - target 8: x: 0, y: 0

2024-03-11 16:11:05 - target 9: x: 0, y: 0

2024-03-11 16:11:05 - drone x: 10, y: 10

2024-03-11 16:11:05 - Height x: 38, width y: 151

2024-03-11 16:11:05 - world loop 248

2024-03-11 16:11:06 - target 1: x: 0, y: 0

2024-03-11 16:11:06 - target 2: x: 0, y: 0

2024-03-11 16:11:06 - target 3: x: 0, y: 0

2024-03-11 16:11:06 - target 4: x: 0, y: 0

2024-03-11 16:11:06 - target 5: x: 0, y: 0

2024-03-11 16:11:06 - target 6: x: 0, y: 0

2024-03-11 16:11:06 - target 7: x: 0, y: 0

2024-03-11 16:11:06 - target 8: x: 0, y: 0

2024-03-11 16:11:06 - target 9: x: 0, y: 0

2024-03-11 16:11:06 - drone x: 10, y: 10

2024-03-11 16:11:06 - Height x: 38, width y: 151

2024-03-11 16:11:06 - world loop 248

2024-03-11 16:11:07 - target 1: x: 0, y: 0

2024-03-11 16:11:07 - target 2: x: 0, y: 0

2024-03-11 16:11:07 - target 3: x: 0, y: 0

2024-03-11 16:11:07 - target 4: x: 0, y: 0

2024-03-11 16:11:07 - target 5: x: 0, y: 0

2024-03-11 16:11:07 - target 6: x: 0, y: 0

2024-03-11 16:11:07 - target 7: x: 0, y: 0

2024-03-11 16:11:07 - target 8: x: 0, y: 0

2024-03-11 16:11:07 - target 9: x: 0, y: 0

2024-03-11 16:11:07 - drone x: 10, y: 10

2024-03-11 16:11:07 - Height x: 38, width y: 151

2024-03-11 16:11:07 - world loop 248

2024-03-11 16:11:10 - target 1: x: 0, y: 0

2024-03-11 16:11:10 - target 2: x: 0, y: 0

2024-03-11 16:11:10 - target 3: x: 0, y: 0

2024-03-11 16:11:10 - target 4: x: 0, y: 0

2024-03-11 16:11:10 - target 5: x: 0, y: 0

2024-03-11 16:11:10 - target 6: x: 0, y: 0

2024-03-11 16:11:10 - target 7: x: 0, y: 0

2024-03-11 16:11:10 - target 8: x: 0, y: 0

2024-03-11 16:11:10 - target 9: x: 0, y: 0

2024-03-11 16:11:10 - drone x: 10, y: 10

2024-03-11 16:11:10 - Height x: 38, width y: 151

2024-03-11 16:11:10 - world loop 248

2024-03-11 16:11:11 - target 1: x: 0, y: 0

2024-03-11 16:11:11 - target 2: x: 0, y: 0

2024-03-11 16:11:11 - target 3: x: 0, y: 0

2024-03-11 16:11:11 - target 4: x: 0, y: 0

2024-03-11 16:11:11 - target 5: x: 0, y: 0

2024-03-11 16:11:11 - target 6: x: 0, y: 0

2024-03-11 16:11:11 - target 7: x: 0, y: 0

2024-03-11 16:11:11 - target 8: x: 0, y: 0

2024-03-11 16:11:11 - target 9: x: 0, y: 0

2024-03-11 16:11:11 - drone x: 10, y: 10

2024-03-11 16:11:11 - Height x: 38, width y: 151

2024-03-11 16:11:11 - world loop 248

2024-03-11 16:11:13 - target 1: x: 0, y: 0

2024-03-11 16:11:13 - target 2: x: 0, y: 0

2024-03-11 16:11:13 - target 3: x: 0, y: 0

2024-03-11 16:11:13 - target 4: x: 0, y: 0

2024-03-11 16:11:13 - target 5: x: 0, y: 0

2024-03-11 16:11:13 - target 6: x: 0, y: 0

2024-03-11 16:11:13 - target 7: x: 0, y: 0

2024-03-11 16:11:13 - target 8: x: 0, y: 0

2024-03-11 16:11:13 - target 9: x: 0, y: 0

2024-03-11 16:11:13 - drone x: 10, y: 10

2024-03-11 16:11:13 - Height x: 38, width y: 151

2024-03-11 16:11:13 - world loop 248

2024-03-11 16:11:14 - target 1: x: 0, y: 0

2024-03-11 16:11:14 - target 2: x: 0, y: 0

2024-03-11 16:11:14 - target 3: x: 0, y: 0

2024-03-11 16:11:14 - target 4: x: 0, y: 0

2024-03-11 16:11:14 - target 5: x: 0, y: 0

2024-03-11 16:11:14 - target 6: x: 0, y: 0

2024-03-11 16:11:14 - target 7: x: 0, y: 0

2024-03-11 16:11:14 - target 8: x: 0, y: 0

2024-03-11 16:11:14 - target 9: x: 0, y: 0

2024-03-11 16:11:14 - drone x: 10, y: 10

2024-03-11 16:11:14 - Height x: 38, width y: 151

2024-03-11 16:11:14 - world loop 248

2024-03-11 16:11:16 - target 1: x: 0, y: 0

2024-03-11 16:11:16 - target 2: x: 0, y: 0

2024-03-11 16:11:16 - target 3: x: 0, y: 0

2024-03-11 16:11:16 - target 4: x: 0, y: 0

2024-03-11 16:11:16 - target 5: x: 0, y: 0

2024-03-11 16:11:16 - target 6: x: 0, y: 0

2024-03-11 16:11:16 - target 7: x: 0, y: 0

2024-03-11 16:11:16 - target 8: x: 0, y: 0

2024-03-11 16:11:16 - target 9: x: 0, y: 0

2024-03-11 16:11:16 - drone x: 10, y: 10

2024-03-11 16:11:16 - Height x: 38, width y: 151

2024-03-11 16:11:16 - world loop 248

2024-03-11 16:11:17 - target 1: x: 0, y: 0

2024-03-11 16:11:17 - target 2: x: 0, y: 0

2024-03-11 16:11:17 - target 3: x: 0, y: 0

2024-03-11 16:11:17 - target 4: x: 0, y: 0

2024-03-11 16:11:17 - target 5: x: 0, y: 0

2024-03-11 16:11:17 - target 6: x: 0, y: 0

2024-03-11 16:11:17 - target 7: x: 0, y: 0

2024-03-11 16:11:17 - target 8: x: 0, y: 0

2024-03-11 16:11:17 - target 9: x: 0, y: 0

2024-03-11 16:11:17 - drone x: 10, y: 10

2024-03-11 16:11:17 - Height x: 38, width y: 151

2024-03-11 16:11:17 - world loop 248

2024-03-11 16:11:18 - target 1: x: 0, y: 0

2024-03-11 16:11:18 - target 2: x: 0, y: 0

2024-03-11 16:11:18 - target 3: x: 0, y: 0

2024-03-11 16:11:18 - target 4: x: 0, y: 0

2024-03-11 16:11:18 - target 5: x: 0, y: 0

2024-03-11 16:11:18 - target 6: x: 0, y: 0

2024-03-11 16:11:18 - target 7: x: 0, y: 0

2024-03-11 16:11:18 - target 8: x: 0, y: 0

2024-03-11 16:11:18 - target 9: x: 0, y: 0

2024-03-11 16:11:18 - drone x: 10, y: 10

2024-03-11 16:11:18 - Height x: 38, width y: 151

2024-03-11 16:11:18 - world loop 248

2024-03-11 16:11:20 - target 1: x: 0, y: 0

2024-03-11 16:11:20 - target 2: x: 0, y: 0

2024-03-11 16:11:20 - target 3: x: 0, y: 0

2024-03-11 16:11:20 - target 4: x: 0, y: 0

2024-03-11 16:11:20 - target 5: x: 0, y: 0

2024-03-11 16:11:20 - target 6: x: 0, y: 0

2024-03-11 16:11:20 - target 7: x: 0, y: 0

2024-03-11 16:11:20 - target 8: x: 0, y: 0

2024-03-11 16:11:20 - target 9: x: 0, y: 0

2024-03-11 16:11:20 - drone x: 10, y: 10

